epoch,batch,train_loss,train_accuracy
0,0,5.5454617,0.005
1,1,5.6772094,0.0
1,2,5.5563707,0.025
1,3,5.286891,0.005
1,4,5.4177747,0.015
1,5,5.2168694,0.025
1,6,5.155189,0.015
1,7,5.1832333,0.02
1,8,5.076773,0.045
1,9,4.932327,0.06
1,10,4.864832,0.045
1,11,4.8512144,0.055
1,12,4.71117,0.06
1,13,4.7204638,0.04
1,14,4.703824,0.035
1,15,4.511786,0.06
1,16,4.4743366,0.045
1,17,4.4316463,0.055
1,18,4.2176924,0.057692307692307696
1,19,3.9482276,0.17
1,20,3.6993685,0.175
1,21,3.6582096,0.17
1,22,3.8471866,0.11
1,23,3.6617355,0.15
1,24,3.5721242,0.15
1,25,3.5219414,0.195
1,26,3.4079134,0.195
1,27,3.2485785,0.215
1,28,3.3101754,0.17
1,29,3.223042,0.21
1,30,3.3808265,0.175
1,31,2.9529126,0.235
1,32,3.1291625,0.2
1,33,3.0598059,0.235
1,34,2.9481516,0.265
1,35,2.9485102,0.195
1,36,3.0168295,0.2980769230769231
2,37,2.3197355,0.47
2,38,2.4378202,0.375
2,39,2.5598311,0.31
2,40,2.4678571,0.34
2,41,2.4832907,0.355
2,42,2.2308352,0.375
2,43,2.29772,0.365
2,44,2.2385266,0.43
2,45,2.1870432,0.4
2,46,2.2331996,0.395
2,47,2.1568077,0.44
2,48,2.2309399,0.385
2,49,2.0566835,0.435
2,50,2.0324054,0.44
2,51,2.1784167,0.42
2,52,2.0691319,0.435
2,53,1.9221016,0.445
2,54,1.9934644,0.4807692307692308
3,55,1.7137897,0.545
3,56,1.6701049,0.51
3,57,1.7553966,0.475
3,58,1.6649492,0.545
3,59,1.5222844,0.56
3,60,1.7920427,0.45
3,61,1.5664006,0.56
3,62,1.5596557,0.5
3,63,1.6842521,0.545
3,64,1.5840845,0.535
3,65,1.4091474,0.585
3,66,1.4337262,0.585
3,67,1.3352976,0.59
3,68,1.4862349,0.525
3,69,1.1888683,0.7
3,70,1.401745,0.565
