
 [*] Set cuda: True
 [*] Loading dataset...
 [*] pre_apn_epoch[0], || pre_apn_iter 0 || pre_apn_loss: 0.0541 || Timer: 3.6655sec
(281, 500, 3)
 [*] pre_apn_epoch[0], || pre_apn_iter 20 || pre_apn_loss: 0.0380 || Timer: 0.1430sec
 [*] pre_apn_epoch[0], || pre_apn_iter 40 || pre_apn_loss: 0.0513 || Timer: 0.1433sec
 [*] pre_apn_epoch[0], || pre_apn_iter 60 || pre_apn_loss: 0.0345 || Timer: 0.1420sec
 [*] pre_apn_epoch[0], || pre_apn_iter 80 || pre_apn_loss: 0.0299 || Timer: 0.1438sec
 [*] pre_apn_epoch[0], || pre_apn_iter 100 || pre_apn_loss: 0.0313 || Timer: 0.1461sec
 [*] pre_apn_epoch[0], || pre_apn_iter 120 || pre_apn_loss: 0.0349 || Timer: 0.1420sec
 [*] pre_apn_epoch[0], || pre_apn_iter 140 || pre_apn_loss: 0.0345 || Timer: 0.1433sec
 [*] pre_apn_epoch[0], || pre_apn_iter 160 || pre_apn_loss: 0.0446 || Timer: 0.1442sec
 [*] pre_apn_epoch[0], || pre_apn_iter 180 || pre_apn_loss: 0.0093 || Timer: 0.1425sec
 [*] pre_apn_epoch[0], || pre_apn_iter 200 || pre_apn_loss: 0.0279 || Timer: 0.1442sec
 [*] pre_apn_epoch[0], || pre_apn_iter 220 || pre_apn_loss: 0.0252 || Timer: 0.1451sec
 [*] pre_apn_epoch[0], || pre_apn_iter 240 || pre_apn_loss: 0.0405 || Timer: 0.1437sec
 [*] pre_apn_epoch[0], || pre_apn_iter 260 || pre_apn_loss: 0.0145 || Timer: 0.1441sec
 [*] pre_apn_epoch[0], || pre_apn_iter 280 || pre_apn_loss: 0.0216 || Timer: 0.1604sec
 [*] pre_apn_epoch[0], || pre_apn_iter 300 || pre_apn_loss: 0.0244 || Timer: 0.1445sec
 [*] pre_apn_epoch[0], || pre_apn_iter 320 || pre_apn_loss: 0.0324 || Timer: 0.1476sec
 [*] pre_apn_epoch[0], || pre_apn_iter 340 || pre_apn_loss: 0.0166 || Timer: 0.1445sec
 [*] pre_apn_epoch[0], || pre_apn_iter 360 || pre_apn_loss: 0.0357 || Timer: 0.2170sec
 [*] pre_apn_epoch[0], || pre_apn_iter 380 || pre_apn_loss: 0.0293 || Timer: 0.1438sec
 [*] pre_apn_epoch[0], || pre_apn_iter 400 || pre_apn_loss: 0.0342 || Timer: 0.1448sec
 [*] pre_apn_epoch[0], || pre_apn_iter 420 || pre_apn_loss: 0.0167 || Timer: 0.1451sec
 [*] pre_apn_epoch[0], || pre_apn_iter 440 || pre_apn_loss: 0.0417 || Timer: 0.1433sec
 [*] pre_apn_epoch[0], || pre_apn_iter 460 || pre_apn_loss: 0.0403 || Timer: 0.1442sec
 [*] pre_apn_epoch[0], || pre_apn_iter 480 || pre_apn_loss: 0.0268 || Timer: 0.1432sec
(375, 500, 3)
 [*] pre_apn_epoch[0], || pre_apn_iter 500 || pre_apn_loss: 0.0302 || Timer: 0.1450sec
(326, 500, 3)
 [*] pre_apn_epoch[0], || pre_apn_iter 520 || pre_apn_loss: 0.0250 || Timer: 0.1436sec
 [*] pre_apn_epoch[0], || pre_apn_iter 540 || pre_apn_loss: 0.0340 || Timer: 0.1445sec
 [*] pre_apn_epoch[0], || pre_apn_iter 560 || pre_apn_loss: 0.0162 || Timer: 0.1445sec
 [*] pre_apn_epoch[0], || pre_apn_iter 580 || pre_apn_loss: 0.0335 || Timer: 0.1438sec
 [*] pre_apn_epoch[0], || pre_apn_iter 600 || pre_apn_loss: 0.0147 || Timer: 0.1447sec
 [*] pre_apn_epoch[0], || pre_apn_iter 620 || pre_apn_loss: 0.0270 || Timer: 0.1448sec
 [*] pre_apn_epoch[0], || pre_apn_iter 640 || pre_apn_loss: 0.0422 || Timer: 0.1427sec
 [*] pre_apn_epoch[0], || pre_apn_iter 660 || pre_apn_loss: 0.0416 || Timer: 0.1444sec
 [*] pre_apn_epoch[0], || pre_apn_iter 680 || pre_apn_loss: 0.0380 || Timer: 0.1445sec
 [*] pre_apn_epoch[0], || pre_apn_iter 700 || pre_apn_loss: 0.0174 || Timer: 0.1437sec
 [*] pre_apn_epoch[0], || pre_apn_iter 720 || pre_apn_loss: 0.0222 || Timer: 0.1449sec
 [*] pre_apn_epoch[0], || pre_apn_iter 740 || pre_apn_loss: 0.0353 || Timer: 0.1449sec
 [*] pre_apn_epoch[0], || pre_apn_iter 760 || pre_apn_loss: 0.0182 || Timer: 0.1435sec
 [*] pre_apn_epoch[0], || pre_apn_iter 780 || pre_apn_loss: 0.0254 || Timer: 0.1433sec
 [*] pre_apn_epoch[0], || pre_apn_iter 800 || pre_apn_loss: 0.0247 || Timer: 0.1443sec
 [*] pre_apn_epoch[0], || pre_apn_iter 820 || pre_apn_loss: 0.0101 || Timer: 0.1439sec
 [*] pre_apn_epoch[0], || pre_apn_iter 840 || pre_apn_loss: 0.0313 || Timer: 0.1444sec
 [*] pre_apn_epoch[0], || pre_apn_iter 860 || pre_apn_loss: 0.0354 || Timer: 0.1445sec
 [*] pre_apn_epoch[0], || pre_apn_iter 880 || pre_apn_loss: 0.0220 || Timer: 0.1446sec
 [*] pre_apn_epoch[0], || pre_apn_iter 900 || pre_apn_loss: 0.0480 || Timer: 0.1436sec
 [*] pre_apn_epoch[0], || pre_apn_iter 920 || pre_apn_loss: 0.0356 || Timer: 0.1426sec
 [*] pre_apn_epoch[0], || pre_apn_iter 940 || pre_apn_loss: 0.0288 || Timer: 0.1439sec
 [*] pre_apn_epoch[0], || pre_apn_iter 960 || pre_apn_loss: 0.0117 || Timer: 0.1445sec
 [*] pre_apn_epoch[0], || pre_apn_iter 980 || pre_apn_loss: 0.0338 || Timer: 0.1428sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1000 || pre_apn_loss: 0.0362 || Timer: 0.1450sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1020 || pre_apn_loss: 0.0211 || Timer: 0.1447sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1040 || pre_apn_loss: 0.0296 || Timer: 0.1509sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1060 || pre_apn_loss: 0.0115 || Timer: 0.1444sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1080 || pre_apn_loss: 0.0269 || Timer: 0.1448sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1100 || pre_apn_loss: 0.0209 || Timer: 0.1442sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1120 || pre_apn_loss: 0.0308 || Timer: 0.1447sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1140 || pre_apn_loss: 0.0319 || Timer: 0.1448sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1160 || pre_apn_loss: 0.0331 || Timer: 0.1436sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1180 || pre_apn_loss: 0.0266 || Timer: 0.1448sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1200 || pre_apn_loss: 0.0409 || Timer: 0.1446sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1220 || pre_apn_loss: 0.0268 || Timer: 0.1442sec
(500, 500, 3)
 [*] pre_apn_epoch[0], || pre_apn_iter 1240 || pre_apn_loss: 0.0219 || Timer: 0.1434sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1260 || pre_apn_loss: 0.0241 || Timer: 0.1443sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1280 || pre_apn_loss: 0.0490 || Timer: 0.1449sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1300 || pre_apn_loss: 0.0253 || Timer: 0.1424sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1320 || pre_apn_loss: 0.0158 || Timer: 0.1429sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1340 || pre_apn_loss: 0.0280 || Timer: 0.1448sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1360 || pre_apn_loss: 0.0165 || Timer: 0.1425sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1380 || pre_apn_loss: 0.0229 || Timer: 0.1425sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1400 || pre_apn_loss: 0.0239 || Timer: 0.1430sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1420 || pre_apn_loss: 0.0289 || Timer: 0.1439sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1440 || pre_apn_loss: 0.0285 || Timer: 0.1431sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1460 || pre_apn_loss: 0.0199 || Timer: 0.1433sec
 [*] pre_apn_epoch[0], || pre_apn_iter 1480 || pre_apn_loss: 0.0355 || Timer: 0.1443sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1500 || pre_apn_loss: 0.0230 || Timer: 0.1437sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1520 || pre_apn_loss: 0.0335 || Timer: 0.1423sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1540 || pre_apn_loss: 0.0158 || Timer: 0.1418sec
(500, 500, 3)
 [*] pre_apn_epoch[1], || pre_apn_iter 1560 || pre_apn_loss: 0.0326 || Timer: 0.1440sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1580 || pre_apn_loss: 0.0237 || Timer: 0.1445sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1600 || pre_apn_loss: 0.0310 || Timer: 0.1431sec
(281, 500, 3)
 [*] pre_apn_epoch[1], || pre_apn_iter 1620 || pre_apn_loss: 0.0241 || Timer: 0.1448sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1640 || pre_apn_loss: 0.0549 || Timer: 0.1418sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1660 || pre_apn_loss: 0.0278 || Timer: 0.1458sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1680 || pre_apn_loss: 0.0371 || Timer: 0.1430sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1700 || pre_apn_loss: 0.0313 || Timer: 0.1465sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1720 || pre_apn_loss: 0.0188 || Timer: 0.1438sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1740 || pre_apn_loss: 0.0258 || Timer: 0.1438sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1760 || pre_apn_loss: 0.0387 || Timer: 0.1444sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1780 || pre_apn_loss: 0.0177 || Timer: 0.1435sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1800 || pre_apn_loss: 0.0377 || Timer: 0.1442sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1820 || pre_apn_loss: 0.0171 || Timer: 0.1445sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1840 || pre_apn_loss: 0.0116 || Timer: 0.1447sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1860 || pre_apn_loss: 0.0126 || Timer: 0.1451sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1880 || pre_apn_loss: 0.0466 || Timer: 0.1459sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1900 || pre_apn_loss: 0.0238 || Timer: 0.1444sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1920 || pre_apn_loss: 0.0177 || Timer: 0.1445sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1940 || pre_apn_loss: 0.0296 || Timer: 0.1445sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1960 || pre_apn_loss: 0.0248 || Timer: 0.1427sec
 [*] pre_apn_epoch[1], || pre_apn_iter 1980 || pre_apn_loss: 0.0144 || Timer: 0.1439sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2000 || pre_apn_loss: 0.0365 || Timer: 0.1446sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2020 || pre_apn_loss: 0.0386 || Timer: 0.1510sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2040 || pre_apn_loss: 0.0180 || Timer: 0.1450sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2060 || pre_apn_loss: 0.0320 || Timer: 0.1443sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2080 || pre_apn_loss: 0.0133 || Timer: 0.1456sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2100 || pre_apn_loss: 0.0503 || Timer: 0.1453sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2120 || pre_apn_loss: 0.0135 || Timer: 0.1475sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2140 || pre_apn_loss: 0.0538 || Timer: 0.1442sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2160 || pre_apn_loss: 0.0306 || Timer: 0.1446sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2180 || pre_apn_loss: 0.0402 || Timer: 0.1443sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2200 || pre_apn_loss: 0.0235 || Timer: 0.1441sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2220 || pre_apn_loss: 0.0225 || Timer: 0.1454sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2240 || pre_apn_loss: 0.0213 || Timer: 0.1444sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2260 || pre_apn_loss: 0.0262 || Timer: 0.1446sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2280 || pre_apn_loss: 0.0212 || Timer: 0.1441sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2300 || pre_apn_loss: 0.0456 || Timer: 0.1438sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2320 || pre_apn_loss: 0.0324 || Timer: 0.1434sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2340 || pre_apn_loss: 0.0290 || Timer: 0.1448sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2360 || pre_apn_loss: 0.0140 || Timer: 0.1448sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2380 || pre_apn_loss: 0.0418 || Timer: 0.1443sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2400 || pre_apn_loss: 0.0254 || Timer: 0.1445sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2420 || pre_apn_loss: 0.0245 || Timer: 0.1450sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2440 || pre_apn_loss: 0.0223 || Timer: 0.1425sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2460 || pre_apn_loss: 0.0397 || Timer: 0.1438sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2480 || pre_apn_loss: 0.0332 || Timer: 0.1448sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2500 || pre_apn_loss: 0.0198 || Timer: 0.1445sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2520 || pre_apn_loss: 0.0506 || Timer: 0.1433sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2540 || pre_apn_loss: 0.0206 || Timer: 0.1438sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2560 || pre_apn_loss: 0.0389 || Timer: 0.1432sec
(375, 500, 3)
 [*] pre_apn_epoch[1], || pre_apn_iter 2580 || pre_apn_loss: 0.0235 || Timer: 0.1449sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2600 || pre_apn_loss: 0.0175 || Timer: 0.1451sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2620 || pre_apn_loss: 0.0253 || Timer: 0.1430sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2640 || pre_apn_loss: 0.0298 || Timer: 0.1446sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2660 || pre_apn_loss: 0.0225 || Timer: 0.1442sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2680 || pre_apn_loss: 0.0107 || Timer: 0.1437sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2700 || pre_apn_loss: 0.0236 || Timer: 0.1426sec
 [*] pre_apn_epoch[1], || pre_apn_iter 2720 || pre_apn_loss: 0.0238 || Timer: 0.1446sec
