2022-11-21 10:56:51,075 INFO    MainThread:5303 [wandb_setup.py:_flush():68] Configure stats pid to 5303
2022-11-21 10:56:51,076 INFO    MainThread:5303 [wandb_setup.py:_flush():68] Loading settings from /home/yy/.config/wandb/settings
2022-11-21 10:56:51,076 INFO    MainThread:5303 [wandb_setup.py:_flush():68] Loading settings from /home/yy/FGVC/RACNN-pytorch-master/wandb/settings
2022-11-21 10:56:51,076 INFO    MainThread:5303 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-21 10:56:51,076 INFO    MainThread:5303 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'RACNN-pytorch-master/trainer.py', 'program': '/home/yy/FGVC/RACNN-pytorch-master/trainer.py'}
2022-11-21 10:56:51,076 INFO    MainThread:5303 [wandb_init.py:_log_setup():476] Logging user logs to /home/yy/FGVC/RACNN-pytorch-master/wandb/run-20221121_105651-1xq4kyci/logs/debug.log
2022-11-21 10:56:51,076 INFO    MainThread:5303 [wandb_init.py:_log_setup():477] Logging internal logs to /home/yy/FGVC/RACNN-pytorch-master/wandb/run-20221121_105651-1xq4kyci/logs/debug-internal.log
2022-11-21 10:56:51,076 INFO    MainThread:5303 [wandb_init.py:init():516] calling init triggers
2022-11-21 10:56:51,077 INFO    MainThread:5303 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-11-21 10:56:51,077 INFO    MainThread:5303 [wandb_init.py:init():569] starting backend
2022-11-21 10:56:51,077 INFO    MainThread:5303 [wandb_init.py:init():573] setting up manager
2022-11-21 10:56:51,081 INFO    MainThread:5303 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-21 10:56:51,082 INFO    MainThread:5303 [wandb_init.py:init():580] backend started and connected
2022-11-21 10:56:51,086 INFO    MainThread:5303 [wandb_init.py:init():658] updated telemetry
2022-11-21 10:56:51,087 INFO    MainThread:5303 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-21 10:56:52,194 INFO    MainThread:5303 [wandb_run.py:_on_init():2000] communicating current version
2022-11-21 10:56:52,784 INFO    MainThread:5303 [wandb_run.py:_on_init():2004] got version response 
2022-11-21 10:56:52,784 INFO    MainThread:5303 [wandb_init.py:init():728] starting run threads in backend
2022-11-21 10:56:55,888 INFO    MainThread:5303 [wandb_run.py:_console_start():1980] atexit reg
2022-11-21 10:56:55,888 INFO    MainThread:5303 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-21 10:56:55,889 INFO    MainThread:5303 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-21 10:56:55,889 INFO    MainThread:5303 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-21 10:56:55,889 INFO    MainThread:5303 [wandb_init.py:init():765] run started, returning control to user process
