2022-11-21 15:51:26,444 INFO    MainThread:59088 [wandb_setup.py:_flush():68] Configure stats pid to 59088
2022-11-21 15:51:26,445 INFO    MainThread:59088 [wandb_setup.py:_flush():68] Loading settings from /home/yy/.config/wandb/settings
2022-11-21 15:51:26,445 INFO    MainThread:59088 [wandb_setup.py:_flush():68] Loading settings from /home/yy/FGVC/RACNN-pytorch-master/wandb/settings
2022-11-21 15:51:26,445 INFO    MainThread:59088 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-21 15:51:26,445 INFO    MainThread:59088 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'RACNN-pytorch-master/trainer.py', 'program': '/home/yy/FGVC/RACNN-pytorch-master/trainer.py'}
2022-11-21 15:51:26,445 INFO    MainThread:59088 [wandb_init.py:_log_setup():476] Logging user logs to /home/yy/FGVC/RACNN-pytorch-master/wandb/run-20221121_155126-3i2r2xv9/logs/debug.log
2022-11-21 15:51:26,445 INFO    MainThread:59088 [wandb_init.py:_log_setup():477] Logging internal logs to /home/yy/FGVC/RACNN-pytorch-master/wandb/run-20221121_155126-3i2r2xv9/logs/debug-internal.log
2022-11-21 15:51:26,445 INFO    MainThread:59088 [wandb_init.py:init():516] calling init triggers
2022-11-21 15:51:26,445 INFO    MainThread:59088 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-11-21 15:51:26,446 INFO    MainThread:59088 [wandb_init.py:init():569] starting backend
2022-11-21 15:51:26,446 INFO    MainThread:59088 [wandb_init.py:init():573] setting up manager
2022-11-21 15:51:26,452 INFO    MainThread:59088 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-21 15:51:26,453 INFO    MainThread:59088 [wandb_init.py:init():580] backend started and connected
2022-11-21 15:51:26,456 INFO    MainThread:59088 [wandb_init.py:init():658] updated telemetry
2022-11-21 15:51:26,456 INFO    MainThread:59088 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-21 15:51:27,514 INFO    MainThread:59088 [wandb_run.py:_on_init():2000] communicating current version
2022-11-21 15:51:28,039 INFO    MainThread:59088 [wandb_run.py:_on_init():2004] got version response 
2022-11-21 15:51:28,039 INFO    MainThread:59088 [wandb_init.py:init():728] starting run threads in backend
2022-11-21 15:51:31,181 INFO    MainThread:59088 [wandb_run.py:_console_start():1980] atexit reg
2022-11-21 15:51:31,182 INFO    MainThread:59088 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-21 15:51:31,182 INFO    MainThread:59088 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-21 15:51:31,182 INFO    MainThread:59088 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-21 15:51:31,183 INFO    MainThread:59088 [wandb_init.py:init():765] run started, returning control to user process
2022-11-21 15:51:53,312 WARNING MsgRouterThr:59088 [router.py:message_loop():77] message_loop has been closed
